los,cfreq,smoothed
0,17739,17739
1,78172,78172
2,73576,75648
3,75197,76721
4,81391,84806
5,97829,88079
6,85017,95320
7,103113,96920
8,102630,99203
9,91865,96475
10,94929,93697
11,94296,93509
12,91301,94191
13,96975,100604
14,113537,103079
15,98725,98766
16,84037,88095
17,81523,81940
18,80259,81435
19,82522,97397
20,129409,97656
21,81036,92663
22,67545,77298
23,56439,61271
24,52060,54285
25,49277,50541
26,46105,50366
27,48822,50661
28,55566,50139
29,53535,48723
30,46669,45824
31,39023,40978
32,34327,36715
33,31336,34443
34,32219,32988
35,35308,31532
36,31750,30393
37,27048,28815
38,25641,26357
39,24328,24741
40,23018,24546
41,23671,24212
42,26071,23356
43,23974,22481
44,20046,21209
45,18644,19245
46,17311,17860
47,16249,17491
48,17050,17013
49,18200,16401
50,16254,15915
51,14252,15097
52,13817,13959
53,12963,13355
54,12510,13389
55,13235,13250
56,14422,12957
57,13122,12669
58,11494,12205
59,11071,11270
60,10916,10644
61,9748,10508
62,9990,10214
63,10814,9753
64,9603,9459
65,8608,9053
66,8280,8406
67,7961,8114
68,7580,8104
69,8140,8019
70,8560,7831
71,7856,7670
72,7017,7362
73,6776,6925
74,6600,6674
75,6376,6677
76,6601,6618
77,7033,6453
78,6481,6348
79,5773,6179
80,5850,5872
81,5757,5716
82,5498,5726
83,5703,5658
84,5824,5542
85,5507,5433
86,5177,5269
87,4956,5039
88,4879,4927
89,4676,4905
90,4947,4857
91,5066,4712
92,4715,4612
93,4154,4439
94,4178,4235
95,4082,4152
96,4047,4285
97,4300,4669
98,4820,6212
99,6095,6220
100,11798,6033
101,4085,5716
102,3366,5136
103,3235,3455
104,3195,3253
105,3396,3145
106,3074,3065
107,2825,2989
108,2837,2878
109,2811,2831
110,2844,2857
111,2837,2864
112,2955,2841
113,2872,2801
114,2699,2748
115,2641,2677
116,2572,2626
117,2600,2622
118,2619,2605
119,2680,2577
120,2553,2545
121,2431,2486
122,2441,2424
123,2327,2399
124,2370,2397
125,2425,2376
126,2423,2355
127,2333,2333
128,2222,2288
129,2263,2218
130,2198,2200
131,2076,2229
132,2239,2241
133,2367,2223
134,2327,2221
135,2108,2190
136,2066,2132
137,2080,2089
138,2081,2101
139,2109,2105
140,2168,2067
141,2085,2044
142,1891,2004
143,1966,1948
144,1909,1914
145,1889,1934
146,1917,1909
147,1990,1896
148,1841,1885
149,1844,1859
150,1832,1812
151,1786,1804
152,1758,1824
153,1802,1819
154,1944,1801
155,1804,1778
156,1699,1755
157,1640,1701
158,1686,1696
159,1678,1720
160,1778,1703
161,1816,1684
162,1557,1676
163,1589,1648
164,1641,1621
165,1637,1647
166,1680,1670
167,1688,1663
168,1703,1639
169,1606,1610
170,1517,1584
171,1537,1552
172,1555,1552
173,1546,1581
174,1604,1573
175,1661,1553
176,1497,1536
177,1459,1509
178,1458,1459
179,1472,1465
180,1407,1489
181,1527,1498
182,1580,1495
183,1504,1487
184,1457,1457
185,1369,1419
186,1376,1405
187,1390,1400
188,1432,1416
189,1434,1399
190,1446,1391
191,1291,1391
192,1350,1384
193,1435,1370
194,1398,1384
195,1376,1389
196,1359,1342
197,1379,1325
198,1196,1309
199,1315,1295
200,1294,1285
201,1292,1302
202,1327,1290
203,1282,1289
204,1257,1276
205,1288,1252
206,1226,1245
207,1209,1255
208,1247,1261
209,1306,1257
210,1315,1251
211,1208,1237
212,1180,1211
213,1178,1176
214,1173,1185
215,1143,1198
216,1249,1200
217,1246,1188
218,1188,1188
219,1116,1168
220,1143,1137
221,1149,1141
222,1089,1159
223,1207,1159
224,1206,1148
225,1142,1147
226,1095,1125
227,1085,1096
228,1099,1095
229,1057,1100
230,1140,1097
231,1118,1092
232,1073,1097
233,1071,1088
234,1081,1076
235,1096,1078
236,1058,1090
237,1085,1096
238,1131,1086
239,1109,1092
240,1047,1086
241,1088,1062
242,1055,1041
243,1013,1059
244,1003,1040
245,1135,1030
246,992,1017
247,1009,1023
248,947,987
249,1030,988
250,956,987
251,999,1002
252,1003,981
253,1021,978
254,925,978
255,944,967
256,999,953
257,944,980
258,955,974
259,1058,961
260,915,962
261,933,961
262,950,941
263,948,950
264,957,957
265,964,956
266,964,941
267,948,930
268,873,921
269,902,904
270,916,898
271,882,924
272,919,934
273,1001,928
274,954,929
275,884,915
276,888,893
277,848,879
278,891,876
279,886,880
280,868,877
281,908,874
282,830,866
283,877,865
284,846,851
285,865,855
286,838,847
287,850,840
288,838,837
289,808,836
290,853,832
291,832,831
292,828,847
293,836,835
294,886,826
295,794,816
296,787,821
297,777,817
298,859,817
299,868,828
300,794,834
301,841,827
302,806,811
303,826,825
304,789,801
305,864,808
306,722,817
307,840,805
308,870,789
309,730,801
310,782,769
311,782,749
312,683,756
313,768,764
314,765,756
315,823,764
316,741,764
317,725,748
318,764,734
319,685,734
320,756,744
321,738,747
322,775,745
323,783,740
324,675,744
325,731,729
326,756,725
327,701,745
328,764,745
329,773,743
330,731,747
331,747,730
332,722,709
333,679,707
334,666,702
335,723,702
336,721,699
337,723,700
338,660,693
339,675,680
340,684,687
341,659,700
342,755,699
343,727,691
344,669,689
345,643,660
346,649,650
347,614,662
348,674,677
349,728,681
350,720,685
351,669,673
352,632,658
353,617,639
354,651,633
355,628,651
356,637,660
357,722,661
358,661,668
359,656,669
360,662,657
361,644,660
362,664,671
363,674,674
364,711,678
365,679,662
366,663,648
367,582,630
368,605,629
369,622,636
370,672,647
371,697,645
372,637,636
373,596,624
374,579,608
375,612,615
376,618,630
377,669,634
378,671,633
379,600,634
380,608,621
381,621,603
382,605,612
383,583,621
384,641,625
385,654,624
386,640,627
387,604,622
388,594,607
389,618,598
390,578,597
391,594,606
392,601,595
393,638,590
394,564,591
395,552,584
396,599,575
397,568,576
398,593,576
399,568,569
400,552,566
401,562,558
402,554,563
403,556,569
404,591,578
405,580,580
406,611,579
407,560,578
408,554,565
409,585,552
410,514,555
411,548,553
412,574,547
413,544,558
414,554,554
415,571,553
416,527,547
417,567,538
418,514,541
419,510,539
420,587,527
421,515,540
422,511,541
423,579,526
424,515,531
425,511,537
426,539,528
427,543,532
428,533,524
429,535,514
430,472,508
431,487,499
432,515,499
433,486,508
434,536,510
435,516,506
436,498,508
437,494,509
438,497,510
439,539,514
440,520,513
441,519,513
442,491,503
443,497,495
444,488,491
445,480,495
446,500,503
447,511,501
448,537,502
449,479,500
450,484,486
451,491,480
452,438,478
453,506,477
454,469,472
455,479,475
456,468,470
457,455,468
458,479,475
459,459,479
460,512,481
461,488,482
462,467,480
463,486,472
464,446,460
465,475,460
466,427,463
467,467,472
468,499,469
469,490,476
470,463,472
471,460,459
472,448,455
473,435,455
474,470,459
475,461,463
476,482,462
477,468,460
478,431,465
479,458,465
480,485,458
481,482,468
482,433,470
483,483,461
484,465,449
485,441,454
486,424,452
487,455,449
488,477,452
489,450,459
490,456,458
491,456,444
492,450,431
493,408,421
494,384,420
495,408,420
496,449,424
497,451,438
498,426,444
499,455,434
500,439,423
501,399,430
502,398,419
503,459,413
504,399,417
505,409,419
506,420,403
507,406,406
508,381,417
509,415,417
510,462,421
511,420,431
512,425,432
513,434,418
514,421,425
515,392,416
516,453,418
517,382,417
518,444,411
519,414,403
520,361,409
521,415,397
522,412,389
523,381,408
524,376,408
525,455,400
526,416,406
527,372,414
528,412,399
529,415,394
530,380,398
531,389,392
532,394,384
533,383,383
534,372,376
535,379,366
536,350,371
537,347,374
538,407,373
539,385,379
540,375,384
541,380,370
542,372,362
543,338,357
544,345,358
545,350,367
546,387,375
547,414,380
548,381,382
549,370,378
550,356,375
551,371,369
552,396,371
553,353,372
554,378,372
555,361,357
556,374,363
557,318,363
558,385,370
559,375,368
560,397,375
561,363,378
562,354,376
563,403,366
564,362,368
565,346,370
566,374,355
567,367,355
568,324,356
569,365,349
570,352,348
571,339,352
572,362,350
573,341,355
574,354,354
575,379,354
576,332,357
577,362,355
578,357,357
579,344,365
580,389,363
581,372,361
582,353,360
583,348,345
584,339,339
585,314,340
586,339,341
587,358,339
588,357,345
589,329,340
590,343,332
591,314,325
592,317,323
593,320,319
594,321,330
595,322,326
596,368,326
597,300,326
598,318,330
599,322,330
600,343,339
601,365,341
602,346,338
603,327,345
604,310,342
605,377,329
606,348,332
607,284,336
608,340,325
609,329,326
610,323,333
611,353,321
612,320,320
613,281,317
614,323,313
615,310,312
616,333,320
617,312,316
618,321,318
619,305,310
620,319,308
621,293,315
622,301,316
623,357,315
624,312,320
625,311,318
626,319,309
627,293,303
628,311,302
629,280,302
630,308,303
631,320,306
632,296,312
633,326,308
634,311,303
635,288,303
636,296,305
637,295,301
638,334,303
639,292,307
640,298,310
641,314,301
642,311,304
643,292,314
644,307,310
645,346,306
646,296,309
647,289,313
648,309,301
649,324,307
650,289,309
651,324,305
652,298,299
653,292,295
654,293,290
655,268,287
656,300,291
657,281,290
658,313,297
659,289,299
660,300,300
661,314,291
662,282,294
663,270,298
664,304,292
665,319,296
666,286,294
667,303,289
668,256,282
669,281,287
670,283,284
671,312,290
672,290,290
673,286,290
674,277,278
675,284,279
676,253,274
677,295,272
678,259,266
679,268,268
680,254,265
681,265,266
682,280,266
683,262,272
684,271,277
685,281,276
686,290,280
687,275,273
688,282,268
689,238,259
690,254,260
691,246,262
692,278,266
693,296,262
694,254,260
695,237,259
696,236,254
697,274,251
698,270,259
699,238,262
700,275,254
701,253,252
702,233,256
703,263,254
704,257,257
705,262,263
706,269,265
707,264,263
708,275,268
709,244,264
710,287,263
711,248,261
712,260,267
713,265,254
714,274,252
715,224,249
716,236,243
717,246,235
718,236,239
719,235,247
720,242,245
721,277,250
722,233,254
723,264,249
724,253,238
725,218,242
726,223,239
727,254,235
728,245,245
729,237,249
730,266,245
731,245,246
732,232,246
733,252,241
734,234,235
735,244,233
736,215,233
737,222,230
738,248,235
739,222,242
740,266,252
741,254,246
742,271,250
743,218,244
744,242,239
745,234,236
746,232,233
747,254,234
748,204,237
749,248,237
750,245,233
751,235,238
752,235,232
753,228,238
754,216,240
755,274,241
756,245,238
757,242,242
758,211,233
759,236,233
760,229,234
761,249,241
762,246,242
763,245,238
764,241,234
765,211,230
766,229,223
767,226,218
768,208,220
769,214,222
770,225,218
771,238,216
772,207,212
773,197,214
774,192,210
775,235,216
776,221,217
777,233,222
778,203,218
779,219,218
780,212,212
781,223,217
782,204,214
783,225,214
784,207,211
785,211,215
786,210,214
787,221,217
788,222,219
789,221,223
790,221,221
791,229,219
792,210,217
793,214,215
794,210,207
795,212,203
796,189,201
797,190,203
798,203,200
799,222,203
800,198,207
801,202,201
802,211,195
803,171,203
804,191,205
805,240,204
806,210,207
807,206,209
808,189,203
809,199,202
810,211,204
811,205,206
812,218,210
813,195,207
814,220,208
815,195,203
816,214,207
817,193,206
818,214,206
819,212,205
820,197,207
821,208,199
822,205,194
823,173,191
824,187,189
825,181,179
826,200,187
827,156,189
828,211,195
829,197,192
830,213,204
831,185,205
832,214,199
833,215,193
834,167,193
835,186,185
836,182,178
837,173,179
838,182,180
839,170,182
840,191,187
841,196,186
842,196,193
843,176,196
844,207,199
845,205,196
846,213,201
847,178,197
848,204,196
849,183,184
850,202,184
851,154,181
852,178,188
853,188,189
854,218,196
855,207,196
856,187,194
857,179,187
858,178,178
859,183,181
860,163,185
861,201,189
862,202,188
863,194,194
864,181,191
865,192,187
866,186,186
867,180,182
868,189,181
869,161,183
870,188,180
871,199,179
872,164,185
873,181,189
874,193,186
875,209,192
876,184,189
877,192,185
878,169,176
879,170,176
880,167,180
881,183,185
882,209,186
883,195,188
884,175,190
885,178,185
886,192,181
887,184,184
888,175,187
889,190,184
890,193,182
891,180,177
892,170,177
893,153,175
894,190,170
895,183,167
896,154,176
897,156,175
898,195,169
899,186,167
900,154,168
901,142,160
902,165,160
903,152,167
904,188,169
905,187,166
906,154,168
907,147,163
908,166,158
909,163,163
910,161,165
911,180,164
912,156,165
913,160,171
914,168,169
915,189,170
916,171,178
917,160,178
918,202,177
919,170,178
920,184,182
921,172,171
922,183,169
923,145,169
924,162,168
925,183,163
926,165,167
927,159,162
928,167,162
929,136,161
930,182,164
931,159,165
932,174,175
933,175,169
934,183,171
935,155,172
936,170,172
937,177,170
938,174,171
939,174,167
940,159,163
941,152,161
942,155,156
943,163,158
944,151,161
945,168,160
946,166,163
947,154,163
948,178,159
949,151,159
950,144,158
951,167,156
952,148,161
953,168,168
954,178,159
955,178,161
956,122,160
957,159,159
958,163,152
959,173,157
960,145,154
961,146,157
962,143,159
963,177,163
964,186,171
965,163,176
966,185,177
967,171,168
968,182,166
969,138,160
970,155,155
971,154,152
972,148,158
973,167,155
974,167,152
975,139,151
976,141,149
977,140,148
978,156,153
979,165,153
980,164,158
981,139,156
982,167,159
983,144,156
984,182,156
985,147,155
986,141,159
987,161,150
988,162,151
989,137,155
990,155,150
991,158,148
992,137,151
993,152,150
994,154,147
995,149,146
996,143,148
997,132,153
998,162,153
999,178,158
1000,148,165
1001,168,162
1002,169,155
1003,146,155
1004,143,149
1005,151,139
1006,135,142
1007,119,141
1008,162,138
1009,137,141
1010,139,143
1011,149,137
1012,130,139
1013,131,141
1014,144,141
1015,150,141
1016,148,145
1017,131,147
1018,154,140
1019,150,136
1020,116,137
1021,130,130
1022,136,127
1023,120,137
1024,131,142
1025,170,146
1026,155,151
1027,153,151
1028,146,148
1029,130,146
1030,154,145
1031,149,145
1032,145,147
1033,148,141
1034,140,137
1035,124,138
1036,130,141
1037,147,141
1038,164,140
1039,139,135
1040,121,135
1041,103,128
1042,148,128
1043,130,130
1044,137,139
1045,131,137
1046,148,137
1047,138,138
1048,132,135
1049,140,128
1050,115,129
1051,117,133
1052,140,126
1053,151,131
1054,109,136
1055,140,133
1056,140,128
1057,123,135
1058,128,136
1059,144,136
1060,143,139
1061,142,139
1062,136,139
1063,129,134
1064,143,134
1065,118,135
1066,142,137
1067,144,134
1068,138,139
1069,128,134
1070,141,132
1071,120,128
1072,135,129
1073,114,125
1074,136,130
1075,118,134
1076,149,137
1077,154,138
1078,127,139
1079,141,133
1080,123,131
1081,118,134
1082,144,130
1083,143,137
1084,124,137
1085,158,134
1086,116,131
1087,130,133
1088,128,129
1089,131,130
1090,140,133
1091,121,132
1092,146,133
1093,121,135
1094,139,136
1095,147,132
1096,125,133
1097,127,135
1098,128,127
1099,149,129
1100,107,127
1101,132,129
1102,119,125
1103,138,131
1104,131,133
1105,134,132
1106,145,129
1107,114,126
1108,119,127
1109,117,122
1110,140,124
1111,118,122
1112,124,124
1113,113,122
1114,125,119
1115,128,121
1116,105,123
1117,134,125
1118,121,124
1119,138,129
1120,124,125
1121,126,128
1122,115,125
1123,135,122
1124,125,122
1125,110,120
1126,123,116
1127,108,116
1128,112,123
1129,127,122
1130,145,127
1131,120,130
1132,129,126
1133,128,121
1134,108,121
1135,121,118
1136,118,119
1137,114,121
1138,134,118
1139,116,121
1140,109,120
1141,130,115
1142,111,117
1143,110,123
1144,127,122
1145,139,124
1146,122,131
1147,120,128
1148,148,120
1149,110,119
1150,101,117
1151,115,110
1152,109,113
1153,117,116
1154,121,117
1155,117,118
1156,120,117
1157,117,114
1158,111,117
1159,107,114
1160,129,112
1161,107,111
1162,107,109
1163,106,105
1164,97,107
1165,107,109
1166,119,110
1167,117,112
1168,111,115
1169,107,115
1170,119,111
1171,119,110
1172,99,111
1173,106,110
1174,110,107
1175,117,108
1176,103,108
1177,104,104
1178,104,100
1179,94,104
1180,97,105
1181,120,109
1182,112,109
1183,120,116
1184,96,112
1185,131,111
1186,102,108
1187,106,113
1188,105,111
1189,119,110
1190,124,112
1191,95,113
1192,117,110
1193,110,106
1194,106,110
1195,103,108
1196,114,110
1197,106,111
1198,122,110
1199,109,107
1200,101,109
1201,99,111
1202,114,110
1203,134,108
1204,102,112
1205,89,111
1206,122,105
1207,109,107
1208,105,114
1209,112,114
1210,120,115
1211,122,113
1212,114,108
1213,99,105
1214,86,98
1215,104,95
1216,87,98
1217,101,104
1218,111,106
1219,118,108
1220,114,108
1221,94,105
1222,104,105
1223,95,105
1224,116,108
1225,117,107
1226,110,108
1227,97,101
1228,98,99
1229,82,98
1230,108,99
1231,106,101
1232,100,107
1233,107,105
1234,116,107
1235,97,106
1236,114,106
1237,98,102
1238,107,103
1239,96,99
1240,98,101
1241,98,98
1242,106,101
1243,94,100
1244,111,101
1245,89,98
1246,105,100
1247,91,96
1248,103,99
1249,92,97
1250,105,98
1251,93,98
1252,97,99
1253,101,96
1254,99,100
1255,92,103
1256,110,104
1257,111,106
1258,108,104
1259,108,99
1260,85,96
1261,82,93
1262,96,89
1263,96,93
1264,85,98
1265,105,97
1266,106,96
1267,92,98
1268,91,98
1269,96,96
1270,104,98
1271,98,95
1272,99,94
1273,79,93
1274,91,90
1275,98,91
1276,82,96
1277,103,100
1278,105,101
1279,110,104
1280,107,102
1281,97,99
1282,89,94
1283,94,93
1284,83,94
1285,103,95
1286,101,96
1287,92,102
1288,102,100
1289,110,99
1290,93,101
1291,96,97
1292,105,93
1293,83,93
1294,89,92
1295,91,85
1296,90,85
1297,73,86
1298,83,84
1299,92,87
1300,83,91
1301,103,94
1302,94,95
1303,96,97
1304,99,92
1305,93,93
1306,79,92
1307,99,92
1308,88,93
1309,101,97
1310,96,90
1311,99,92
1312,68,95
1313,96,93
1314,118,92
1315,85,100
1316,94,99
1317,107,91
1318,92,95
1319,76,93
1320,107,88
1321,85,92
1322,81,95
1323,109,92
1324,91,93
1325,92,92
1326,91,89
1327,78,92
1328,93,94
1329,107,92
1330,103,96
1331,81,94
1332,95,87
1333,83,81
1334,71,85
1335,77,85
1336,100,87
1337,94,92
1338,94,96
1339,93,95
1340,99,92
1341,93,94
1342,80,93
1343,103,93
1344,92,94
1345,96,93
1346,99,90
1347,73,86
1348,92,78
1349,68,80
1350,58,81
1351,109,80
1352,80,83
1353,83,88
1354,85,84
1355,84,85
1356,89,85
1357,83,83
1358,83,81
1359,78,83
1360,72,86
1361,100,86
1362,96,88
1363,86,92
1364,84,86
1365,94,84
1366,72,83
1367,86,84
1368,77,81
1369,92,82
1370,80,86
1371,73,86
1372,106,84
1373,78,83
1374,84,86
1375,72,80
1376,90,82
1377,75,81
1378,89,87
1379,80,85
1380,99,88
1381,81,88
1382,89,89
1383,92,88
1384,82,91
1385,98,88
1386,95,88
1387,73,87
1388,94,81
1389,73,78
1390,71,82
1391,81,79
1392,89,84
1393,83,86
1394,98,87
1395,78,85
1396,89,83
1397,77,76
1398,71,78
1399,67,74
1400,86,75
1401,71,74
1402,78,75
1403,67,74
1404,75,76
1405,78,74
1406,83,77
1407,68,78
1408,79,79
1409,81,78
1410,83,81
1411,77,80
1412,83,81
1413,78,78
1414,82,78
1415,71,74
1416,75,74
1417,66,75
1418,77,75
1419,85,77
1420,73,80
1421,84,79
1422,80,76
1423,73,75
1424,71,74
1425,67,74
1426,78,78
1427,81,79
1428,93,82
1429,75,82
1430,83,80
1431,77,75
1432,70,75
1433,69,76
1434,78,76
1435,84,80
1436,77,79
1437,90,76
1438,65,75
1439,66,78
1440,78,77
1441,90,80
1442,85,81
1443,80,80
1444,73,78
1445,72,74
1446,79,76
1447,66,76
1448,90,75
1449,72,71
1450,70,73
1451,59,71
1452,76,72
1453,79,71
1454,74,73
1455,68,72
1456,69,71
1457,70,72
1458,76,69
1459,75,68
1460,57,65
1461,60,64
1462,57,63
1463,71,65
1464,69,67
1465,69,69
1466,70,72
1467,66,71
1468,84,70
1469,67,68
1470,65,69
1471,58,66
1472,71,63
1473,70,65
1474,53,69
1475,72,67
1476,77,66
1477,65,67
1478,62,66
1479,60,64
1480,68,62
1481,64,63
1482,55,66
1483,70,69
1484,73,69
1485,82,72
1486,64,73
1487,72,72
1488,74,70
1489,68,71
1490,74,71
1491,69,71
1492,70,72
1493,72,69
1494,76,70
1495,56,70
1496,75,67
1497,69,62
1498,60,65
1499,52,61
1500,68,60
1501,55,63
1502,66,65
1503,72,66
1504,64,66
1505,73,68
1506,56,65
1507,73,66
1508,61,67
1509,68,68
1510,75,66
1511,65,71
1512,60,72
1513,89,69
1514,70,69
1515,61,67
1516,67,64
1517,50,66
1518,73,68
