County,County_Code,county,code
Alamance,1,Alamance,1
Alexander,3,Buncombe,21
Alleghany,5,Burke,23
Anson,7,Caldwell,27
Ashe,9,Catawba,35
Avery,11,Chatham,37
Beaufort,13,Craven,49
Bertie,15,Cumberland,51
Bladen,17,Davidson,57
Brunswick,19,Duplin,61
Buncombe,21,Durham,63
Burke,23,Edgecombe,65
Cabarrus,25,Forsyth,67
Caldwell,27,Franklin,69
Camden,29,Greene,79
Carteret,31,Guilford,81
Caswell,33,Halifax,83
Catawba,35,Harnett,85
Chatham,37,Henderson,89
Cherokee,39,Johnston,101
Chowan,41,Jones,103
Clay,43,Lee,105
Cleveland,45,Lenoir,107
Columbus,47,Moore,125
Craven,49,Nash,127
Cumberland,51,New Hanover,129
Currituck,53,Onslow,133
Dare,55,Orange,135
Davidson,57,Person,145
Davie,59,Pitt,147
Duplin,61,Polk,149
Durham,63,Randolph,151
Edgecombe,65,Robeson,155
Forsyth,67,Rutherford,161
Franklin,69,Sampson,163
Gaston,71,Transylvania,175
Gates,73,Wake,183
Graham,75,Watauga,189
Granville,77,Wayne,191
Greene,79,Wilkes,193
Guilford,81,Wilson,195
Halifax,83,,
Harnett,85,,
Haywood,87,,
Henderson,89,,
Hertford,91,,
Hoke,93,,
Hyde,95,,
Iredell,97,,
Jackson,99,,
Johnston,101,,
Jones,103,,
Lee,105,,
Lenoir,107,,
Lincoln,109,,
Macon,113,,
Madison,115,,
Martin,117,,
McDowell,111,,
Mecklenburg,119,,
Mitchell,121,,
Montgomery,123,,
Moore,125,,
Nash,127,,
New Hanover,129,,
Northampton,131,,
Onslow,133,,
Orange,135,,
Pamlico,137,,
Pasquotank,139,,
Pender,141,,
Perquimans,143,,
Person,145,,
Pitt,147,,
Polk,149,,
Randolph,151,,
Richmond,153,,
Robeson,155,,
Rockingham,157,,
Rowan,159,,
Rutherford,161,,
Sampson,163,,
Scotland,165,,
Stanly,167,,
Stokes,169,,
Surry,171,,
Swain,173,,
Transylvania,175,,
Tyrrell,177,,
Union,179,,
Vance,181,,
Wake,183,,
Warren,185,,
Washington,187,,
Watauga,189,,
Wayne,191,,
Wilkes,193,,
Wilson,195,,
Yadkin,197,,
Yancey,199,,